NO,Tanggal,Kurs,Return
151,15/08/2016,13121,7.62166E-05
152,16/08/2016,13098,-0.001754453
153,18/08/2016,13114,0.001220815
154,19/08/2016,13119,0.000381199
155,22/08/2016,13197,0.00592797
156,23/08/2016,13216,0.001438686
157,24/08/2016,13252,0.002720268
158,25/08/2016,13267,0.001131264
159,26/08/2016,13242,-0.001886152
160,29/08/2016,13275,0.002488971
161,30/08/2016,13260,-0.001130582
162,31/08/2016,13300,0.00301205
163,01/09/2016,13269,-0.002333548
164,02/09/2016,13261,-0.000603091
165,05/09/2016,13197,-0.004837866
166,06/09/2016,13162,-0.002655641
167,07/09/2016,13086,-0.005790934
168,08/09/2016,13090,0.000305623
169,09/09/2016,13089,-7.63971E-05
170,13/09/2016,13151,0.004725619
171,14/09/2016,13228,0.005837994
172,15/09/2016,13190,-0.002876828
173,16/09/2016,13131,-0.00448312
174,19/09/2016,13164,0.002509984
175,20/09/2016,13142,-0.001672623
176,21/09/2016,13148,0.000456447
177,22/09/2016,13098,-0.003810109
178,23/09/2016,13098,0
179,26/09/2016,13076,-0.001681058
180,27/09/2016,13027,-0.003754362
181,28/09/2016,12926,-0.00778334
182,29/09/2016,12952,0.00200943
183,30/09/2016,12998,0.003545283
184,03/10/2016,13010,0.000922793
185,04/10/2016,12988,-0.001692438
186,05/10/2016,12995,0.000538814
187,06/10/2016,12992,-0.000230885
188,07/10/2016,13002,0.000769408
189,10/10/2016,12969,-0.002541297
190,11/10/2016,12992,0.001771889
191,12/10/2016,13023,0.002383242
192,13/10/2016,13028,0.000383862
193,14/10/2016,13047,0.001457335
194,17/10/2016,13054,0.000536378
195,18/10/2016,13044,-0.000766342
196,19/10/2016,13007,-0.002840584
197,20/10/2016,12999,-0.000615243
198,21/10/2016,13020,0.001614205
199,24/10/2016,13047,0.002071586
200,25/10/2016,13022,-0.001917987
201,26/10/2016,12997,-0.001921673
202,27/10/2016,13027,0.002305565
203,28/10/2016,13048,0.001610739
204,31/10/2016,13051,0.000229894
205,01/11/2016,13036,-0.001149998
206,02/11/2016,13058,0.001686212
207,03/11/2016,13050,-0.000612839
208,04/11/2016,13103,0.004053078
209,07/11/2016,13082,-0.001603972
210,08/11/2016,13090,0.00061134
211,09/11/2016,13084,-0.00045847
212,10/11/2016,13118,0.002595223
213,11/11/2016,13350,0.017531052
214,14/11/2016,13358,0.000599071
215,15/11/2016,13338,-0.001498352
216,16/11/2016,13347,0.000674536
217,17/11/2016,13385,0.002843036
218,18/11/2016,13408,0.001716867
219,21/11/2016,13438,0.002234971
220,22/11/2016,13424,-0.001042365
221,23/11/2016,13473,0.003643533
222,24/11/2016,13540,0.004960585
223,25/11/2016,13570,0.002213206
224,28/11/2016,13467,-0.007619225
225,29/11/2016,13549,0.006070495
226,30/11/2016,13563,0.001032753
227,01/12/2016,13582,0.00139989
228,02/12/2016,13524,-0.004279502
229,05/12/2016,13516,-0.000591716
230,06/12/2016,13405,-0.008246397
231,07/12/2016,13336,-0.005160626
232,08/12/2016,13304,-0.002402404
233,09/12/2016,13337,0.002477386
234,13/12/2016,13309,-0.00210163
235,14/12/2016,13285,-0.001804919
236,15/12/2016,13367,0.006153404
237,16/12/2016,13426,0.004404143
238,19/12/2016,13381,-0.003357335
239,20/12/2016,13393,0.000896392
240,21/12/2016,13473,0.0059555
241,22/12/2016,13435,-0.002824441
242,23/12/2016,13470,0.002601748
243,27/12/2016,13436,-0.002527319
244,28/12/2016,13447,0.000818361
245,29/12/2016,13473,0.00193165
246,30/12/2016,13436,-0.002750011
247,03/01/2017,13485,0.003640285
248,04/01/2017,13478,-0.00051923
249,05/01/2017,13370,-0.008045335
250,06/01/2017,13347,-0.001721751
251,09/01/2017,13385,0.002843036
252,10/01/2017,13320,-0.004868012
253,11/01/2017,13327,0.000525387
254,12/01/2017,13288,-0.00293068
255,13/01/2017,13308,0.001503986
256,16/01/2017,13354,0.003450607
257,17/01/2017,13381,0.002019825
258,18/01/2017,13328,-0.003968705
259,19/01/2017,13376,0.003594971
260,20/01/2017,13382,0.000448464
261,23/01/2017,13372,-0.000747552
262,24/01/2017,13330,-0.003145834
263,25/01/2017,13340,0.000749906
264,26/01/2017,13325,-0.00112507
265,27/01/2017,13359,0.002548345
266,30/01/2017,13335,-0.001798157
267,31/01/2017,13343,0.000599745
268,01/02/2017,13349,0.000449573
269,02/02/2017,13374,0.001871048
270,03/02/2017,13362,-0.000897666
271,06/02/2017,13329,-0.002472745
272,07/02/2017,13322,-0.000525309
273,08/02/2017,13337,0.001125324
274,09/02/2017,13308,-0.002176769
275,10/02/2017,13318,0.000751146
276,13/02/2017,13330,0.000900631
277,14/02/2017,13330,0
278,16/02/2017,13329,-7.50216E-05
279,17/02/2017,13328,-7.50272E-05
280,20/02/2017,13352,0.001799101
281,21/02/2017,13370,0.001347205
282,22/02/2017,13356,-0.001047669
283,23/02/2017,13360,0.000299446
284,24/02/2017,13336,-0.001798023
285,27/02/2017,13339,0.00022493
286,28/02/2017,13347,0.000599565
287,01/03/2017,13361,0.001048375
288,02/03/2017,13361,0
289,03/03/2017,13375,0.001047277
290,06/03/2017,13364,-0.000822768
291,07/03/2017,13350,-0.00104814
292,08/03/2017,13340,-0.000749344
