periode,semarang
29/10/2023,25666.66667
30/10/2023,25600
31/10/2023,25600
01/11/2023,25400
02/11/2023,25200
03/11/2023,25200
04/11/2023,25800
05/11/2023,26400
06/11/2023,27000
07/11/2023,27800
08/11/2023,28300
09/11/2023,28200
10/11/2023,28200
11/11/2023,28033.33333
12/11/2023,27866.66667
13/11/2023,27700
14/11/2023,27800
15/11/2023,27500
16/11/2023,27100
17/11/2023,27400
18/11/2023,27400
19/11/2023,27400
20/11/2023,27400
21/11/2023,27400
22/11/2023,26900
23/11/2023,26800
24/11/2023,26800
25/11/2023,26800
26/11/2023,26800
27/11/2023,26800
28/11/2023,26900
29/11/2023,26900
30/11/2023,26800
01/12/2023,26800
02/12/2023,26800
03/12/2023,26800
04/12/2023,26800
05/12/2023,26800
06/12/2023,26700
07/12/2023,26600
08/12/2023,26600
09/12/2023,26566.66667
10/12/2023,26533.33333
11/12/2023,26500
12/12/2023,26500
13/12/2023,26700
14/12/2023,26700
15/12/2023,26700
16/12/2023,26666.66667
17/12/2023,26633.33333
18/12/2023,26600
19/12/2023,26600
20/12/2023,26700
21/12/2023,26700
22/12/2023,26700
23/12/2023,26720
24/12/2023,26740
25/12/2023,26760
26/12/2023,26780
27/12/2023,26800
28/12/2023,26700
29/12/2023,26700
30/12/2023,23572.07194
31/12/2023,23572.07194
